trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPPTA2026011881d951dd,2026-01-18,GP02,new,11,210,10,7
TRPPLZ2026011868a0ab3f,2026-01-18,WC02,new,16,221,9,6
TRPJHB20260118feaf7155,2026-01-18,GP01,new,30,482,7,8
TRPDBN202601180253e5dd,2026-01-18,KZN01,repeated,10,148,6,8
TRPCPT202601183177ed41,2026-01-18,WC01,new,5,80,7,7
TRPJHB2026011899ea0e10,2026-01-18,GP01,repeated,40,769,8,8
TRPJHB202601189dc723d8,2026-01-18,GP01,repeated,35,618,8,10
TRPCPT20260118ef49f8f8,2026-01-18,WC01,repeated,20,273,5,9
TRPJHB2026011803cafca6,2026-01-18,GP01,new,14,308,10,8
TRPCPT20260118b34747e0,2026-01-18,WC01,new,14,193,10,5
TRPBFN2026011882378c0c,2026-01-18,FS01,repeated,5,95,7,7
TRPPMB202601187d2ec476,2026-01-18,KZN02,new,34,475,10,8
TRPPLZ20260118bd62d7e0,2026-01-18,WC02,new,9,122,7,8
TRPPTA20260118fc2e7772,2026-01-18,GP02,repeated,23,401,8,9
TRPPTA20260118e31ec777,2026-01-18,GP02,new,27,456,9,10
TRPPMB20260118e918a0a2,2026-01-18,KZN02,new,18,243,8,7
TRPDBN202601187ffe7f2b,2026-01-18,KZN01,repeated,15,192,6,8
TRPJHB20260118301808bb,2026-01-18,GP01,repeated,36,606,8,9
TRPJHB2026011808d622de,2026-01-18,GP01,new,28,471,8,7
TRPNEL202601189f63cab1,2026-01-18,MP01,repeated,13,203,9,9
TRPPMB2026011808251960,2026-01-18,KZN02,new,37,478,8,9
TRPJHB202601181c188597,2026-01-18,GP01,new,39,750,7,8
TRPPLZ20260118869f113d,2026-01-18,WC02,new,16,239,10,8
TRPPTA20260118a45422dd,2026-01-18,GP02,repeated,28,378,8,10
TRPDBN20260118185a6f3c,2026-01-18,KZN01,repeated,12,131,6,5
TRPJHB20260118b47fb23a,2026-01-18,GP01,new,37,630,10,8
TRPPMB202601184d1b25cc,2026-01-18,KZN02,repeated,26,339,7,9
TRPPLZ20260118362ef718,2026-01-18,WC02,new,23,265,8,9
TRPDBN202601188ae6de15,2026-01-18,KZN01,repeated,16,189,4,5
TRPBFN20260118f940d6bd,2026-01-18,FS01,new,17,189,10,6
TRPJHB20260118d2931940,2026-01-18,GP01,new,24,463,7,9
TRPDBN2026011865b09d5d,2026-01-18,KZN01,new,7,106,7,7
TRPDBN202601185eaa2973,2026-01-18,KZN01,repeated,10,77,7,6
TRPJHB202601185f930d31,2026-01-18,GP01,repeated,30,495,9,9
TRPELS20260118d1cde5e0,2026-01-18,EC01,new,17,261,7,8
TRPPMB202601180069fc7f,2026-01-18,KZN02,new,22,271,9,8
TRPPLZ2026011894bdeb13,2026-01-18,WC02,new,14,190,9,8
TRPPLZ2026011800edb0ce,2026-01-18,WC02,new,19,214,7,8
TRPPTA20260118342d01ea,2026-01-18,GP02,repeated,22,306,8,9
TRPPMB20260118ea622e8d,2026-01-18,KZN02,new,21,256,7,9
TRPBFN202601184800dc80,2026-01-18,FS01,new,14,118,6,6
TRPBFN20260118eb539d00,2026-01-18,FS01,new,6,65,7,6
TRPELS202601180be54b33,2026-01-18,EC01,new,23,422,8,7
TRPPTA2026011863f28148,2026-01-18,GP02,new,21,293,8,10
TRPCPT20260118120797ea,2026-01-18,WC01,repeated,7,133,7,7
TRPDBN20260118142629fc,2026-01-18,KZN01,repeated,13,159,8,7
TRPJHB20260118a4e8bdc0,2026-01-18,GP01,new,32,600,9,10
TRPNEL20260118c7902d43,2026-01-18,MP01,new,19,271,7,10
TRPJHB20260118c451b138,2026-01-18,GP01,repeated,44,798,7,10
TRPJHB202601189407304a,2026-01-18,GP01,new,37,654,9,9
TRPELS202601185fdec717,2026-01-18,EC01,repeated,13,207,8,9
TRPPMB202601182445755f,2026-01-18,KZN02,repeated,20,304,9,7
TRPDBN2026011839d4aa36,2026-01-18,KZN01,repeated,6,66,5,9
TRPJHB202601184c5a762b,2026-01-18,GP01,new,14,295,9,10
TRPCPT202601182c2ff23d,2026-01-18,WC01,repeated,8,103,5,6
TRPRST20260118a1e45491,2026-01-18,NW01,new,18,224,10,8
TRPPTA20260118b7986e09,2026-01-18,GP02,new,16,300,10,10
TRPPTA202601188e61f3c9,2026-01-18,GP02,new,14,184,9,10
TRPPTA20260118f336c4ed,2026-01-18,GP02,new,34,505,10,8
TRPNEL20260118ac2ca15b,2026-01-18,MP01,new,20,364,7,9
TRPCPT2026011861217c93,2026-01-18,WC01,new,13,158,7,9
TRPPLZ20260118891ac641,2026-01-18,WC02,new,11,122,8,9
TRPJHB2026011824006585,2026-01-18,GP01,new,32,646,9,9
TRPPMB20260118c3951a3b,2026-01-18,KZN02,new,11,195,8,7
TRPNEL20260118d6289956,2026-01-18,MP01,new,11,239,8,10
TRPBFN202601186e6f3e2e,2026-01-18,FS01,repeated,16,206,6,4
TRPJHB20260118ecbc285d,2026-01-18,GP01,new,42,751,9,10
TRPNEL202601186119e15c,2026-01-18,MP01,new,18,319,9,10
TRPCPT202601184f1c2f37,2026-01-18,WC01,repeated,19,247,5,7
TRPDBN202601183627ca68,2026-01-18,KZN01,repeated,14,167,7,6
TRPELS2026011878fd64b0,2026-01-18,EC01,new,11,156,8,9
TRPDBN2026011874090184,2026-01-18,KZN01,repeated,13,192,5,7
TRPPMB20260118721e9ef2,2026-01-18,KZN02,new,35,445,7,10
