trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPPTA202512110e5b9359,2025-12-11,GP02,new,15,243,9,7
TRPPLZ20251211995cfecb,2025-12-11,WC02,new,18,218,9,6
TRPJHB20251211d2812a0d,2025-12-11,GP01,new,28,476,9,7
TRPDBN20251211c1327480,2025-12-11,KZN01,repeated,10,109,5,7
TRPCPT2025121175015d96,2025-12-11,WC01,new,5,76,9,6
TRPJHB202512118ef247df,2025-12-11,GP01,repeated,43,782,7,9
TRPJHB2025121126a87ca8,2025-12-11,GP01,repeated,32,595,10,10
TRPCPT20251211ae30fed1,2025-12-11,WC01,repeated,16,267,4,9
TRPJHB20251211dcdb9b29,2025-12-11,GP01,new,18,318,9,8
TRPCPT20251211dbf791fd,2025-12-11,WC01,new,14,169,8,5
TRPBFN2025121186b092d7,2025-12-11,FS01,repeated,9,66,5,7
TRPPMB20251211af415118,2025-12-11,KZN02,new,35,501,9,8
TRPPLZ20251211c1ffd5f0,2025-12-11,WC02,new,13,142,8,8
TRPPTA20251211e2202cfc,2025-12-11,GP02,repeated,29,408,7,10
TRPPTA20251211a142e574,2025-12-11,GP02,new,33,466,8,10
TRPPMB2025121147035012,2025-12-11,KZN02,new,15,248,9,8
TRPDBN2025121100ee11f4,2025-12-11,KZN01,repeated,20,205,8,8
TRPJHB20251211681b77af,2025-12-11,GP01,repeated,33,603,8,9
TRPJHB20251211d80b83f3,2025-12-11,GP01,new,24,468,7,8
TRPNEL20251211acfac1ec,2025-12-11,MP01,repeated,9,198,10,8
TRPPMB202512110d7105d9,2025-12-11,KZN02,new,33,488,8,7
TRPJHB202512119483736e,2025-12-11,GP01,new,45,736,8,7
TRPPLZ2025121108a261c9,2025-12-11,WC02,new,22,250,9,8
TRPPTA20251211dfa8442c,2025-12-11,GP02,repeated,28,404,8,10
TRPDBN2025121118b08b3c,2025-12-11,KZN01,repeated,15,135,6,7
TRPJHB202512114502eb16,2025-12-11,GP01,new,31,609,9,8
TRPPMB20251211d4066f17,2025-12-11,KZN02,repeated,24,344,5,9
TRPPLZ20251211c946ebad,2025-12-11,WC02,new,22,255,9,8
TRPDBN20251211466236ae,2025-12-11,KZN01,repeated,15,212,4,4
TRPBFN20251211492a687d,2025-12-11,FS01,new,17,193,10,7
TRPJHB202512119e5167b6,2025-12-11,GP01,new,22,442,9,8
TRPDBN20251211b9712c7c,2025-12-11,KZN01,new,12,114,6,5
TRPDBN2025121173a37f3e,2025-12-11,KZN01,repeated,6,80,5,7
TRPJHB20251211a4ac2d72,2025-12-11,GP01,repeated,26,503,9,10
TRPELS2025121154a90154,2025-12-11,EC01,new,12,241,7,7
TRPPMB2025121160b7ecb1,2025-12-11,KZN02,new,22,290,7,7
TRPPLZ202512112275ec85,2025-12-11,WC02,new,13,171,9,6
TRPPLZ20251211e95958f4,2025-12-11,WC02,new,21,250,8,9
TRPPTA20251211ec4363cc,2025-12-11,GP02,repeated,23,298,9,8
TRPPMB2025121183ea85f7,2025-12-11,KZN02,new,17,269,8,9
TRPBFN202512112dc24f45,2025-12-11,FS01,new,14,147,6,7
TRPBFN20251211d0030b44,2025-12-11,FS01,new,5,76,8,6
TRPELS2025121181056be9,2025-12-11,EC01,new,27,391,10,8
TRPPTA202512118febec1f,2025-12-11,GP02,new,16,294,8,10
TRPCPT20251211002a019c,2025-12-11,WC01,repeated,6,144,8,8
TRPDBN20251211002235ea,2025-12-11,KZN01,repeated,10,181,7,7
TRPJHB20251211b1f5965c,2025-12-11,GP01,new,34,586,10,9
TRPNEL20251211dffc8ad7,2025-12-11,MP01,new,15,267,9,10
TRPJHB20251211cbb43e55,2025-12-11,GP01,repeated,44,785,8,8
TRPJHB202512113ab052cf,2025-12-11,GP01,new,40,685,9,9
TRPELS202512115d9555bb,2025-12-11,EC01,repeated,10,223,7,9
TRPPMB202512118c8d05de,2025-12-11,KZN02,repeated,25,332,7,5
TRPDBN202512117922c306,2025-12-11,KZN01,repeated,5,62,6,7
TRPJHB20251211561180de,2025-12-11,GP01,new,18,291,10,10
TRPCPT20251211fc02cd85,2025-12-11,WC01,repeated,6,81,5,5
TRPRST20251211b344b3d2,2025-12-11,NW01,new,15,233,10,9
TRPPTA202512112d1b55e9,2025-12-11,GP02,new,20,290,9,10
TRPPTA202512117461fa32,2025-12-11,GP02,new,9,175,10,10
TRPPTA2025121164ae7434,2025-12-11,GP02,new,36,490,9,8
TRPNEL2025121168007a60,2025-12-11,MP01,new,25,343,8,8
TRPCPT20251211c2f69b9a,2025-12-11,WC01,new,8,175,6,9
TRPPLZ20251211c7548f26,2025-12-11,WC02,new,8,129,9,8
TRPJHB20251211886a6777,2025-12-11,GP01,new,33,643,9,8
TRPPMB2025121173b00e63,2025-12-11,KZN02,new,15,181,6,8
TRPNEL2025121138db5b96,2025-12-11,MP01,new,16,233,8,8
TRPBFN20251211c3f0f591,2025-12-11,FS01,repeated,21,184,4,6
TRPJHB20251211a457e123,2025-12-11,GP01,new,40,716,10,9
TRPNEL2025121196c8f90c,2025-12-11,MP01,new,21,303,10,10
TRPCPT20251211a8929fd0,2025-12-11,WC01,repeated,18,248,7,6
TRPDBN2025121188847964,2025-12-11,KZN01,repeated,10,156,8,5
TRPELS202512119a17ed39,2025-12-11,EC01,new,6,178,9,10
TRPDBN20251211f83958ac,2025-12-11,KZN01,repeated,15,171,5,8
TRPPMB202512116bdc0ffa,2025-12-11,KZN02,new,33,443,7,9
TRPPMB2025121154dc7c60,2025-12-11,KZN02,repeated,10,187,8,9
TRPJHB20251211b4bad97d,2025-12-11,GP01,new,12,280,10,7
TRPPTA20251211f10f16bb,2025-12-11,GP02,new,25,363,10,7
