trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPPTA202601260c92e1fd,2026-01-26,GP02,new,12,247,10,8
TRPPLZ20260126e42adbf1,2026-01-26,WC02,new,19,216,8,6
TRPJHB20260126820965b9,2026-01-26,GP01,new,24,477,9,9
TRPDBN20260126dcc5028b,2026-01-26,KZN01,repeated,11,148,5,7
TRPCPT20260126d57fe9d0,2026-01-26,WC01,new,7,66,7,7
TRPJHB20260126eec33132,2026-01-26,GP01,repeated,43,767,6,9
TRPJHB202601260e22366d,2026-01-26,GP01,repeated,32,607,10,9
TRPCPT202601263e446352,2026-01-26,WC01,repeated,20,258,4,9
TRPJHB20260126809e55d3,2026-01-26,GP01,new,16,321,10,9
TRPCPT202601269c671d10,2026-01-26,WC01,new,14,200,10,6
TRPBFN2026012616c7f404,2026-01-26,FS01,repeated,6,92,7,9
TRPPMB2026012682c700e3,2026-01-26,KZN02,new,36,484,9,8
TRPPLZ202601266674742c,2026-01-26,WC02,new,13,151,6,9
TRPPTA20260126259caee1,2026-01-26,GP02,repeated,25,384,8,10
TRPPTA202601261376b8ef,2026-01-26,GP02,new,29,445,9,10
TRPPMB20260126890022a2,2026-01-26,KZN02,new,19,240,8,6
TRPDBN20260126b97a99ed,2026-01-26,KZN01,repeated,16,220,8,6
TRPJHB2026012635aa1586,2026-01-26,GP01,repeated,36,629,7,8
TRPJHB20260126a815159d,2026-01-26,GP01,new,22,479,7,7
TRPNEL2026012632e72246,2026-01-26,MP01,repeated,10,185,10,10
TRPPMB20260126d12f2071,2026-01-26,KZN02,new,33,491,7,7
TRPJHB20260126ae85dc86,2026-01-26,GP01,new,42,742,9,8
TRPPLZ20260126de0aeab8,2026-01-26,WC02,new,22,250,9,8
TRPPTA20260126d5ce8d97,2026-01-26,GP02,repeated,29,406,9,10
TRPDBN20260126ecd129ef,2026-01-26,KZN01,repeated,12,146,5,7
TRPJHB2026012664e35fa9,2026-01-26,GP01,new,37,601,9,9
